#NSGA2
popsize 50
maxGen 200
numVar 2
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	50
totalTime	0.0298985
firstFrontCount	22
frontCount	5
avgEvalTime	1.115e-05
#end
Var1	Var2	Obj1	Obj2	
0.443962	1.03423	5.06693	36.4848	
2.11206	1.96344	33.2637	17.5608	
3.81874	4.25008	130.584	1.95774	
2.54244	3.41787	72.5833	8.54274	
0.762315	1.26102	8.68522	31.9379	
2.98633	2.51785	61.0311	10.2159	
0.383709	0	0.588931	46.3101	
0.959376	0.455615	4.51195	36.9781	
2.7978	2.3712	53.801	11.7603	
1.89427	1.4285	22.5154	22.4012	
0.751629	0.951207	5.87896	34.4414	
3.00229	3.73994	92.0035	5.57861	
0.718983	0	2.06775	43.3271	
3.95869	4.18772	132.833	1.74412	



#Generation 8 / 200
currentGen	8
evaluateCount	400
totalTime	0.919
firstFrontCount	50
frontCount	1
avgEvalTime	1.5096e-05
#end
Var1	Var2	Obj1	Obj2	
4.73215	4.60913	174.549	0.224525	
0	0	0	50	
0	0	0	50	
3.99012	3.91535	125.004	2.19633	
3.91533	3.66227	114.968	2.96601	
4.40698	4.06059	143.639	1.23416	
0.751629	0.951207	5.87896	34.4414	
3.95869	4.18772	132.833	1.74412	
2.82048	3.00922	68.042	8.71352	
0.718983	0	2.06775	43.3271	
0.767716	0.149076	2.44645	41.4437	
4.50029	4.34005	156.354	0.685248	
3.1132	3.21024	79.9905	6.76327	
0.0146324	0.233448	0.218848	47.5739	
3.70767	3.57239	106.035	3.70818	
2.18599	2.31067	40.471	15.1511	
1.42963	0.89413	11.3733	29.6057	
2.65886	2.72164	57.9075	10.6719	
3.0386	2.53476	62.6325	9.92448	
3.45395	3.10294	86.2321	5.9891	
0.373428	0.141227	0.637575	45.0128	
1.63658	1.71714	22.5078	22.0898	
2.40981	2.30964	44.5666	13.9471	
1.15923	0.757014	7.66753	32.7545	
3.55211	3.89006	111	3.32836	
4.76491	4.31902	165.433	0.519001	
2.7978	2.3712	53.801	11.7603	
3.00229	3.73994	92.0035	5.57861	
1.12272	1.05581	9.50092	30.59	
1.97959	1.55115	25.2993	21.0175	
2.32335	1.98215	37.3075	16.2719	
4.58812	3.98324	147.668	1.20345	
4.40282	4.33285	152.633	0.80172	
1.45439	2.18598	27.5751	20.49	
0.443962	1.03423	5.06693	36.4848	
2.36852	2.57373	48.936	12.8114	
4.45706	4.66767	166.61	0.405225	
0.497062	0.617414	2.51308	39.4835	
1.36973	1.56877	17.3488	24.9522	
0.762315	1.26102	8.68522	31.9379	
3.81874	4.25008	130.584	1.95774	
3.26915	2.93307	77.1608	7.26807	
0.383709	0	0.588931	46.3101	
2.54244	3.41787	72.5833	8.54274	
3.58277	3.34212	96.0241	4.75711	
0.959376	0.455615	4.51195	36.9781	
2.96833	3.10832	73.8907	7.70612	
1.05683	1.73615	16.5244	26.2013	
1.0731	1.62486	15.1669	26.8121	
2.389	2.69248	51.8271	12.142	



#Generation 9 / 200
currentGen	9
evaluateCount	450
totalTime	0.953546
firstFrontCount	50
frontCount	1
avgEvalTime	1.7286e-05
#end
Var1	Var2	Obj1	Obj2	
0	0	0	50	
0	0	0	50	
4.73215	4.60913	174.549	0.224525	
1.41735	2.49523	32.9401	19.1093	
2.32335	1.98215	37.3075	16.2719	
3.0386	2.53476	62.6325	9.92448	
2.40981	2.30964	44.5666	13.9471	
3.70767	3.57239	106.035	3.70818	
2.18599	2.31067	40.471	15.1511	
2.65886	2.72164	57.9075	10.6719	
1.06462	2.10311	22.226	23.8792	
3.99012	3.91535	125.004	2.19633	
0.718983	0	2.06775	43.3271	
3.00229	3.73994	92.0035	5.57861	
1.36973	1.56877	17.3488	24.9522	
3.37051	3.67203	99.3766	4.41873	
1.37062	1.1772	13.0577	27.7861	
0.0146324	0.233448	0.218848	47.5739	
2.82048	3.00922	68.042	8.71352	
1.63658	1.71714	22.5078	22.0898	
0.959376	0.455615	4.51195	36.9781	
4.50029	4.34005	156.354	0.685248	
1.70906	1.99289	27.5699	19.873	
3.66444	4.01519	118.2	2.75356	
4.25574	4.02739	137.325	1.4999	
0.497062	0.617414	2.51308	39.4835	
0.767716	0.149076	2.44645	41.4437	
2.36852	2.57373	48.936	12.8114	
0.373428	0.141227	0.637575	45.0128	
3.55211	3.89006	111	3.32836	
3.58277	3.34212	96.0241	4.75711	
3.45395	3.10294	86.2321	5.9891	
4.40698	4.06059	143.639	1.23416	
4.61108	4.45296	164.364	0.450514	
2.7978	2.3712	53.801	11.7603	
0.751629	0.951207	5.87896	34.4414	
4.45706	4.66767	166.61	0.405225	
4.58812	3.98324	147.668	1.20345	
4.40282	4.33285	152.633	0.80172	
1.42963	0.89413	11.3733	29.6057	
0.443962	1.03423	5.06693	36.4848	
3.81874	4.25008	130.584	1.95774	
0.383709	0	0.588931	46.3101	
3.91533	3.66227	114.968	2.96601	
1.0731	1.62486	15.1669	26.8121	
1.05683	1.73615	16.5244	26.2013	
1.15923	0.757014	7.66753	32.7545	
3.95869	4.18772	132.833	1.74412	
1.97959	1.55115	25.2993	21.0175	
1.14066	0.64557	6.87143	33.8556	



#Generation 10 / 200
currentGen	10
evaluateCount	500
totalTime	0.985259
firstFrontCount	50
frontCount	1
avgEvalTime	1.3876e-05
#end
Var1	Var2	Obj1	Obj2	
4.73215	4.60913	174.549	0.224525	
0	0	0	50	
0	0	0	50	
2.31101	1.55447	31.0286	19.1023	
2.32335	1.98215	37.3075	16.2719	
3.41767	2.70101	75.9037	7.78913	
1.15923	0.757014	7.66753	32.7545	
0.497062	0.617414	2.51308	39.4835	
2.40981	2.30964	44.5666	13.9471	
3.03517	3.51051	86.1436	6.07915	
1.72383	1.45254	20.3257	23.3178	
1.23714	1.06728	10.6784	29.6254	
0.718983	0	2.06775	43.3271	
0.959376	0.455615	4.51195	36.9781	
0.767716	0.149076	2.44645	41.4437	
1.36973	1.56877	17.3488	24.9522	
0.0146324	0.233448	0.218848	47.5739	
1.63658	1.71714	22.5078	22.0898	
3.37051	3.67203	99.3766	4.41873	
2.36852	2.57373	48.936	12.8114	
2.65851	2.9131	62.2153	9.83772	
0.373428	0.141227	0.637575	45.0128	
3.00229	3.73994	92.0035	5.57861	
4.40698	4.06059	143.639	1.23416	
2.65886	2.72164	57.9075	10.6719	
3.66444	4.01519	118.2	2.75356	
4.45706	4.66767	166.61	0.405225	
3.70767	3.57239	106.035	3.70818	
0.608711	0.900632	4.72666	36.0882	
4.61108	4.45296	164.364	0.450514	
2.18599	2.31067	40.471	15.1511	
3.55211	3.89006	111	3.32836	
0.751629	0.951207	5.87896	34.4414	
2.69615	3.01725	65.492	9.23903	
1.97959	1.55115	25.2993	21.0175	
1.70906	1.99289	27.5699	19.873	
3.81874	4.25008	130.584	1.95774	
0.383709	0	0.588931	46.3101	
3.91533	3.66227	114.968	2.96601	
4.56504	4.29987	157.314	0.679379	
4.16642	3.69503	124.049	2.3978	
4.25574	4.02739	137.325	1.4999	
2.83833	2.21974	51.9335	12.4026	
2.7978	2.3712	53.801	11.7603	
