#NSGA2
popsize 50
maxGen 100
numVar 2
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	0.0399441
firstFrontCount	20
frontCount	8
avgEvalTime	8.1488e-05
#end
Var1	Var2	Obj1	Obj2	
3.56854	3.04225	87.959	5.88187	
1.5768	1.95755	25.2733	20.9748	
0.74375	0.0558606	2.22514	42.5602	
5	4.63823	186.053	0.130879	
1.65136	2.07925	28.2011	19.7442	
2.65505	2.45826	52.3693	11.9592	
1.98013	2.2926	36.7078	16.4496	
3.78525	3.76029	113.872	3.01248	
2.59812	2.63251	54.7213	11.374	
2.76208	2.98	66.038	9.08867	
4.43229	4.04614	144.066	1.23213	
3.65074	3.46765	101.41	4.16859	
3.8498	3.59535	110.99	3.29599	
0.319918	0.420636	1.11713	42.8737	
1.18661	1.71257	17.3637	25.3492	
1.64879	1.42942	19.0469	23.9797	
3.09329	3.7353	94.0835	5.23503	
3.37906	3.3263	89.9294	5.42871	
2.78942	3.10598	69.712	8.47397	
0.336795	0.193171	0.602983	44.8511	
2.22159	2.20299	39.1544	15.5429	
0.312045	0.255609	0.650831	44.4862	
1.70384	1.47367	20.2991	23.2997	



#Generation 11 / 100
currentGen	11
evaluateCount	550
totalTime	1.69925
firstFrontCount	50
frontCount	1
avgEvalTime	1.7032e-05
#end
Var1	Var2	Obj1	Obj2	
5	4.84947	194.069	0.0226588	
0	0	0	50	
0	0	0	50	
0.692784	0.709753	3.9348	36.9583	
0.965753	0.779708	6.1625	34.086	
3.65074	3.46765	101.41	4.16859	
2.59812	2.63251	54.7213	11.374	
2.76208	2.98	66.038	9.08867	
0.6883	0.370657	2.44458	40.0216	
3.86307	3.84275	118.76	2.63182	
1.14765	1.57694	15.2153	26.558	
3.90219	4.10406	128.281	2.00791	
3.8498	3.59535	110.99	3.29599	
1.09439	0.946824	8.37666	31.682	
2.57881	3.55697	77.2093	7.94447	
2.32631	2.3362	43.4781	14.2445	
4.50637	4.12412	149.263	1.01084	
2.12349	1.7655	30.5048	18.7363	
2.20394	1.95405	34.7026	17.0958	
1.42943	1.0063	12.2237	28.6986	
0.222517	0.125791	0.261349	46.5823	
2.22159	2.20299	39.1544	15.5429	
3.09329	3.7353	94.0835	5.23503	
4.56177	4.39302	160.434	0.560468	
5	4.57	183.539	0.184902	
0.0276784	0.125644	0.0662097	48.4833	
1.5768	1.95755	25.2733	20.9748	
0.420949	0.401673	1.35416	42.1123	
3.08166	3.30647	81.7175	6.54807	
4.4532	3.70355	134.189	1.97977	
4.6949	4.59113	172.482	0.260262	
1.0039	1.16878	9.49546	30.6471	
2.72719	2.10102	47.4073	13.5698	
4.34339	4.68795	163.368	0.528509	
2.5862	2.364	49.1075	12.775	
3.78525	3.76029	113.872	3.01248	
1.26545	1.08299	11.0969	29.2899	
2.78942	3.10598	69.712	8.47397	
4.41362	4.85448	172.184	0.365016	
2.88583	3.41481	79.9558	6.98253	
0.319918	0.420636	1.11713	42.8737	
3.56854	3.04225	87.959	5.88187	
1.30509	2.10744	24.5783	22.0192	
1.65136	2.07925	28.2011	19.7442	
4.3883	3.92204	138.558	1.53617	
1.64879	1.42942	19.0469	23.9797	
1.56389	1.33351	16.896	25.25	
0.336795	0.193171	0.602983	44.8511	
4.88418	4.85377	189.657	0.0347974	
0.312045	0.255609	0.650831	44.4862	



#Generation 12 / 100
currentGen	12
evaluateCount	600
totalTime	1.75866
firstFrontCount	50
frontCount	1
avgEvalTime	1.7994e-05
#end
Var1	Var2	Obj1	Obj2	
0	0	0	50	
0	0	0	50	
5	4.84947	194.069	0.0226588	
4.50637	4.12412	149.263	1.01084	
4.3883	3.92204	138.558	1.53617	
3.09329	3.7353	94.0835	5.23503	
2.92815	2.4784	58.8661	10.651	
2.76208	2.98	66.038	9.08867	
5	4.57	183.539	0.184902	
1.30509	2.10744	24.5783	22.0192	
2.78942	3.10598	69.712	8.47397	
3.41761	3.17942	87.1552	5.81846	
1.14765	1.57694	15.2153	26.558	
2.9886	3.19761	76.626	7.2943	
4.56177	4.39302	160.434	0.560468	
2.32631	2.3362	43.4781	14.2445	
