#NSGA2
popsize 50
maxGen 100
numVar 2
numObj 2
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	0.0483512
firstFrontCount	1
frontCount	50
avgEvalTime	0.000446584
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
totalTime	0.963566
firstFrontCount	14
frontCount	4
avgEvalTime	1.8854e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.759683	0.734498	0.759683	0.734498	0	0	
0.849444	0.49435	0.849444	0.49435	0	0	
1.01503	0.0980953	1.01503	0.0980953	0	0	
0.472484	0.951111	0.472484	0.951111	0	0	
0.991139	0.270751	0.991139	0.270751	0	0	
0.777646	0.652174	0.777646	0.652174	0	0	
0.608827	0.773866	0.608827	0.773866	0	0	
0.533678	0.799174	0.533678	0.799174	0	0	
0.18191	0.988117	0.18191	0.988117	0	0	
0.97237	0.282019	0.97237	0.282019	0	0	
0.375501	0.97873	0.375501	0.97873	0	0	
0.583131	0.786723	0.583131	0.786723	0	0	
0.488895	0.881925	0.488895	0.881925	0	0	
0.835942	0.55358	0.835942	0.55358	0	0	
0.46317	0.979987	0.46317	0.979987	0	0	
0.633896	0.79783	0.633896	0.79783	0	0	
0.580957	0.854095	0.580957	0.854095	0	0	
0.316004	1.01828	0.316004	1.01828	0	0	
0.679853	0.78732	0.679853	0.78732	0	0	
0.546557	0.965953	0.546557	0.965953	0	0	
0.862937	0.526879	0.862937	0.526879	0	0	
0.522319	0.967437	0.522319	0.967437	0	0	
0.995233	0.397208	0.995233	0.397208	0	0	
0.58017	0.866866	0.58017	0.866866	0	0	
0.991583	0.433746	0.991583	0.433746	0	0	
1.06869	0.111469	1.06869	0.111469	0	0	
